id,is_iceberg
5941774d,0.079068035
4023181e,0.37537837
b20200e4,1.0
e7f018bb,0.9926082
4371c8c3,0.6631386
a8d9b1fd,0.0006633103
29e7727e,0.054214478
92a51ffb,0.9955994
c769ac97,1.6534194e-08
aee0547d,2.2287858e-14
565b28ac,6.873258e-09
e04e9775,0.5455655
8e8161d1,0.00031924248
4cf4d256,0.49804106
139e5324,0.0071722567
f156976f,0.024001867
68a117cc,9.9632925e-05
d9aa7a56,0.20495912
9005b143,0.97140574
5f6d3988,0.90089154
9ad70954,0.025716305
b9087b9e,0.8281915
a39a1427,0.99914396
82fbe8ed,0.42523372
1fae4879,4.6734154e-28
6dd8f13d,7.592266e-15
bbad5958,0.18596944
54527583,0.13250354
be8fa29c,0.16021052
81a3328f,0.9973769
1a3c0ab3,1.6381722e-07
4deeeb8b,0.3690611
ac6d5632,0.71452874
472dadb5,0.61863315
96093f95,0.9289952
f5b4e3df,0.99816465
e01a3c92,0.0009497404
001680af,0.006564617
8e639f33,0.6526873
a2c16612,0.7793667
a6d76474,4.7393154e-23
19c47684,0.875641
015827b6,0.99826485
7df7f7ce,0.09646502
0bbf1a3f,0.55818015
636cfbb7,0.54650664
7370030a,0.9862631
43aa97ad,9.121726e-15
ba2b5e63,0.9953594
dfdd335b,0.07026723
e79b13dc,4.1944826e-21
dc32b195,0.5704513
6d868590,0.9857458
75fa59aa,0.00024023652
ffe50836,0.89134777
a7bfd784,0.9655359
b3d569e3,0.46746948
6c538c5b,0.18281901
5c7c15f4,1.0
0b745139,0.99923694
fd14608e,0.25898188
f0bc8305,0.044643253
a10ccb28,0.98399115
543304c7,0.82705474
6c3a4078,0.0
9b73cc75,0.41352138
5c6c71b1,0.079737306
09ee9186,0.3232351
207c35cf,0.69173485
153c813e,1.0
5605d58b,0.9271057
642ca396,0.008063346
d32d72c0,0.85478187
16646a17,0.9941062
384074af,0.22086027
69bf1e8c,0.523007
9e90a054,0.6177728
89dbe7f7,0.9766623
dbd27d22,0.9647677
a2ea1561,0.69808996
d63402af,0.43508142
1ac8bb92,0.99872136
8beffca5,0.979082
46741f3e,0.00043544173
e5ee6aa7,0.030455261
5ecd892b,0.79843694
69892166,1.6557571e-09
2f725a81,0.1396071
810abfe4,1.5578251e-30
e6f973e6,0.9582275
c60a5c46,0.007828563
c42b9e08,0.9533207
c3f00c23,1.0
5307fdb8,0.9944734
3e4f005e,0.0117841065
4a4cc2e0,0.79205203
9bdd88d1,1.4772053e-15
0d832bed,0.012426734
14a134fa,3.7799155e-09
78a41676,7.8456055e-19
0bd4658e,0.025306761
4a311bb0,0.5122252
f939c817,0.99880135
956adc4d,0.9998207
f8a119f5,0.64365363
61faa1ad,0.8686435
6725eb3e,0.0017057657
17b3a8fd,7.6311146e-08
49a88dfc,1.5399936e-22
2d6ec645,0.31363374
0d4d77ba,0.58936554
3ee672a2,0.9992312
738b41fd,0.8948036
f7fb320d,0.6181035
b42fad18,1.4263145e-17
4ab8b00a,0.5112642
f7870f2b,0.18254867
4978666a,0.64856595
f1b0d6c7,3.176643e-05
5642407f,0.0014461875
36d4ff92,0.99539006
4139aba2,0.9270287
7585ce58,0.41054827
33e25984,0.99881315
ac46f3c9,0.00565055
fc34a5b8,0.6776871
85c36a8f,0.6682946
b2d8a426,0.004680246
13ec60d1,0.76804376
9d440f42,0.0003016889
1c0a891e,0.62103486
981c3bc3,0.99617904
295604f4,0.8877289
16ca16c3,0.4143783
b4dda837,0.40000278
88d088ef,0.0005518198
1b4fa160,0.46292707
f371bd82,5.8867295e-07
b130a0b7,0.9036521
ebf1de82,0.8573425
01e651c3,0.999925
51b1fecc,0.9976591
fa635a31,0.9888253
97b7d789,0.003345102
2f598053,7.726229e-05
c0e3e148,0.9114094
cfa175a8,0.11544201
3d7e09d8,0.9691489
44a13d1b,0.9673383
c66b0948,0.94954646
976a6d64,0.069502056
8bbd8909,0.53492224
522890fd,0.9920625
f23a3b95,0.5631343
680039dc,0.9492973
93028e53,0.0010677874
22a16932,0.9999949
7d8126d2,0.05094844
ba2ecd75,8.2027756e-16
8071bdd7,0.18636632
96d5aeee,5.999243e-08
154be68f,0.8499092
d8c2bfe2,0.9391865
f76d47b0,0.8726506
0e781ade,1.4817648e-16
13cf6060,2.5556028e-33
cd99f710,0.997151
d10005bb,3.3434204e-05
3a31445f,0.9932771
3157202d,1.8981704e-05
6ee64703,0.46545961
e5de8685,0.3779459
02cc70ba,7.926566e-06
50984a87,0.8317534
fa94957a,0.9466176
eab406b4,0.711405
3ad39398,0.8488087
9ecf3802,0.9999729
6048ae7b,5.4923793e-15
9dc68871,0.00025326014
13701465,0.7705101
8d8779f3,3.1347594e-13
0712f269,0.82209164
722c2597,3.8111118e-06
478a2b08,0.7631345
38f5fb41,0.8260168
c52ad74d,0.9973234
0c85fd09,6.7286285e-24
f1582cba,0.93955994
ff836697,0.97851825
ddfe4802,0.5069596
3cef3bc7,0.9943688
6a21542b,0.24133387
150e23c4,0.9953115
078c6d99,0.94982314
1dcd1dc3,6.288288e-13
39967e45,0.5694159
6b6333aa,1.0
4ae61433,0.80765593
f96362e0,0.14452618
97a88aac,0.10955891
427ae8ce,0.08599636
209d4b15,0.59304744
64b453bd,4.393948e-23
0f5a484e,0.25987634
5ac74969,0.94145185
736ed43e,0.70922995
8533795f,0.0035349727
f5b54fb6,0.6775616
6eb4c041,0.44865668
97afdf42,0.7635722
1bb488db,0.999473
f132e44d,0.99996436
d3c2f140,0.30039826
1756794d,0.6400403
9efcc11f,1.6901648e-15
14c966cf,0.9056798
59cfe4d1,0.53319067
883151f4,0.9999974
34c4c9ff,0.08964929
70b4c2eb,0.81529486
96a337d9,0.8769799
7fe89ffa,0.3514182
057c7a22,1.1465007e-16
451cc057,0.0021328032
05076700,1.5242831e-11
